contract_id,category,n_observations,duration_hours,avg_spread,avg_spread_pct,avg_volume,total_volume,avg_volatility,max_volatility,avg_depth_resilience,spread_collapse_slope,liquidity_resilience,burst_intensity,regime_entropy,dominant_regime,regime_pct_1,regime_pct_3,regime_pct_4,regime_pct_5,regime_pct_2,lifecycle_spread_early,lifecycle_spread_mid_early,lifecycle_spread_mid_late,lifecycle_spread_late,lifecycle_volume_early,lifecycle_volume_mid_early,lifecycle_volume_mid_late,lifecycle_volume_late,lifecycle_volatility_short_early,lifecycle_volatility_short_mid_early,lifecycle_volatility_short_mid_late,lifecycle_volatility_short_late
KXNFLGAME-25OCT09PHINYG-NYG,Sports,10003,166.7,3.8396481055683296,0.12769714741628224,1987.5337398780366,19881300,0.005707984633190407,0.2527729018043241,0.007195036525567898,-14.548873322809209,1.0,5.238139463508451,0.4741100389682428,1,72.78816355093471,21.403578926322105,4.188743376986904,1.5695291412576227,0.049985004498650405,1.0,1.0,1.0,1.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0
KXNCAAFGAME-25NOV01CINUTAH-CIN,Sports,22182,369.68333333333334,20.92209899918853,0.4426124651173513,292.0847083220629,6479023,0.003451811663224961,1.180643892119889,0.038332130615190335,-63.82516905659993,1.0,7.572997150495079,0.2608923978039345,1,89.79803444234064,6.879451807772067,2.3938328374357587,0.5364710125326841,0.39220989991885313,53.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXNCAAFGAME-25NOV01OKLATENN-TENN,Sports,22043,367.3666666666667,18.120446400217755,0.3647345683143452,303.5761466225105,6691729,0.0019557585850151025,1.1985324359398875,0.022843008214950302,-62.43360531209002,1.0,6.940113557918186,0.21612103344319025,1,92.09272785011115,4.917660935444359,2.31819625277866,0.5625368597740779,0.10887810189175702,53.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXMLBGAME-25OCT09MILCHC-MIL,Sports,1651,27.5,1.6408237431859478,0.07268988802776578,3810.8909751665656,6291781,0.018519664377423195,0.5821416398857661,0.04192565508836076,-1.069701684942574,1.0,3.85661203527876,0.6870142160082737,3,40.58146577831617,46.638400969109625,7.147183525136282,1.574803149606299,4.058146577831617,2.0,1.0,1.0,1.0,0.0,0.0,585.0,3831.5,0.0,0.0,0.0,0.013470288879207176
KXNFLGAME-25SEP28GBDAL-DAL,Sports,16397,273.26666666666665,8.570348234433128,0.21087476144341225,2251.5616881136793,36918857,0.0057843889230885055,0.8305395344999219,0.01968023433209251,-36.96299152114377,1.0,6.664217268500028,0.3722504214970739,1,82.6919558455815,12.294931999756054,3.616515216198085,1.2563273769591998,0.14026956150515338,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXNCAAFGAME-25NOV07TULNMEM-TULN,Sports,10949,182.46666666666667,5.288519499497671,0.1441156501223848,566.0730660334277,6197934,0.0019143447475190815,0.27666443551086073,0.017762135478562945,-18.854296770706682,1.0,6.074168330671142,0.19146163656696813,1,93.29619143300758,3.9546990592748195,1.9727829025481778,0.7671933509909581,0.009133254178463786,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXNFLGAME-25OCT02SFLA-LA,Sports,8660,144.31666666666666,1.781986143187067,0.029467521700600664,3687.5057736720555,31933800,0.0042523743635291865,0.4842361234700685,0.011884393063583817,-3.089621789482333,1.0,5.780506256270937,0.5195011154560536,1,67.37875288683603,26.143187066974594,4.630484988452656,1.766743648960739,0.08083140877598152,1.0,1.0,1.0,1.0,0.0,0.0,5.0,285.5,0.0,0.0,0.0,0.0
KXATPMATCH-25NOV04CAZNOR-NOR,Sports,1643,27.366666666666667,8.304321363359708,0.15151980523318911,631.7790626902008,1038013,0.013751637081736483,0.5736073197178557,0.03368034292712799,-36.78697504564831,1.0,4.0650111206708335,0.40986714764149906,1,80.15824710894705,14.120511259890446,3.8344491783323194,1.704199634814364,0.18259281801582472,1.0,1.0,1.0,1.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.011816314467109597
KXNFLGAME-25OCT09PHINYG-PHI,Sports,10003,166.7,4.589423173048085,0.07553725332062355,2607.420173947816,26082024,0.0034831948715772407,0.976501692551301,0.006094265986190333,-19.00637321798255,1.0,8.255351917516071,0.487962250339057,1,70.98870338898331,23.073078076577026,4.608617414775567,1.1896431070678797,0.13995801259622112,1.0,1.0,1.0,1.0,0.0,0.0,4.0,104.0,0.0,0.0,0.0,0.0
KXATPMATCH-25NOV08DJOMUS-DJO,Sports,1350,22.483333333333334,2.5125925925925925,0.03963392819797284,750.062962962963,1012585,0.0123320448397087,0.24462697326702845,0.04522388059701493,-5.023893412287226,1.0,3.947834832127518,0.5968829444542394,1,62.29629629629629,27.481481481481477,6.444444444444445,3.4814814814814814,0.2962962962962963,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1173.0,0.0,0.0,0.0,0.016648061413390394
